City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Dsc
255,Marrakesh,MA,31.6315,-8.0083,62.67,45,40,3.44,scattered clouds
256,Mahon,ES,39.8885,4.2658,66.76,88,75,11.5,broken clouds
257,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,2.3,clear sky
258,Mpophomeni,ZA,-29.5682,30.1862,49.48,97,21,4.21,few clouds
259,Ust-Kulom,RU,61.6864,53.6902,10.26,92,100,6.98,overcast clouds
260,Parfenyevo,RU,58.484,43.4088,27.16,80,95,9.33,overcast clouds
261,Vestmannaeyjar,IS,63.4427,-20.2734,45.68,83,100,11.61,overcast clouds
262,Nassau,US,40.7507,-73.5829,40.69,64,0,6.91,clear sky
263,Beloha,MG,-25.1667,45.05,75.42,78,69,4.27,broken clouds
264,Antalaha,MG,-14.9003,50.2788,71.64,79,46,3.18,scattered clouds
265,Rabo De Peixe,PT,37.8,-25.5833,63.28,98,75,6.91,broken clouds
266,Tessalit,ML,20.1986,1.0114,71.26,18,100,8.43,overcast clouds
267,Irbit,RU,57.6705,63.071,14.38,91,100,12.39,overcast clouds
268,Ode,NG,7.7899,5.7117,68.77,53,90,3.2,overcast clouds
269,Faya,SA,18.3851,42.4509,55.51,81,0,1.19,clear sky
270,Baie-Saint-Paul,CA,47.4411,-70.4986,34.05,72,9,6.55,clear sky
271,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,64.49,36,0,2.15,clear sky
272,Presidente Epitacio,BR,-21.7633,-52.1156,69.75,83,98,3.89,light rain
273,Novomykolayivka,UA,47.9781,35.9102,31.84,79,14,4.65,few clouds
274,Houma,US,29.5958,-90.7195,60.8,96,100,20.71,moderate rain
275,Saint George,US,37.1041,-113.5841,46.99,43,0,5.01,clear sky
276,Paita,PE,-5.0892,-81.1144,63.57,86,14,9.6,few clouds
277,Jaguariaiva,BR,-24.2511,-49.7058,61.75,97,84,3.53,light rain
278,Zaysan,KZ,47.4667,84.8667,41.47,35,100,2.42,overcast clouds
279,Tatawin,TN,32.9297,10.4518,58.98,41,0,4.97,clear sky
280,Zafra,ES,38.4167,-6.4167,55.27,94,99,7.9,overcast clouds
281,Richards Bay,ZA,-28.783,32.0377,67.89,70,82,0.4,broken clouds
282,Alexander City,US,32.944,-85.9539,52.48,66,0,6.91,clear sky
283,Juazeiro,BR,-9.4117,-40.4986,73.58,88,0,5.75,light rain
284,Sungurlare,BG,42.7667,26.7833,45.77,92,100,3.09,overcast clouds
285,Viedma,AR,-40.8135,-62.9967,59.49,56,0,7.02,clear sky
286,Touros,BR,-5.1989,-35.4608,78.22,77,42,11.41,scattered clouds
287,Antofagasta,CL,-23.65,-70.4,61.88,77,32,1.92,scattered clouds
288,Saint-Joseph,RE,-21.3667,55.6167,71.98,68,22,14.9,few clouds
289,Sistranda,NO,63.7256,8.834,44.56,84,100,25.57,overcast clouds
290,Pointe-Noire,CG,-4.7761,11.8635,75.27,94,75,2.3,broken clouds
291,Gamba,GA,-2.65,10.0,75.83,86,97,6.85,overcast clouds
292,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,74,100,13.8,overcast clouds
293,Asyut,EG,27.181,31.1837,59.18,66,0,8.08,clear sky
294,Borba,BR,-4.3878,-59.5939,81.27,63,93,2.51,overcast clouds
295,Almaty,KZ,43.25,76.95,30.11,74,75,2.24,broken clouds
296,Betanzos,ES,43.2804,-8.2147,61.72,83,40,23.02,light rain
297,Thunder Bay,CA,48.4001,-89.3168,28.38,86,100,17.27,overcast clouds
298,San Ramon,US,37.7799,-121.978,54.82,63,0,5.75,clear sky
299,Umm Lajj,SA,25.0213,37.2685,76.77,60,0,4.32,clear sky
300,Huarmey,PE,-10.0681,-78.1522,64.26,85,19,7.58,few clouds
301,Kidal,ML,18.4411,1.4078,70.05,19,93,11.16,overcast clouds
302,Kewanee,US,41.2456,-89.9248,35.58,54,96,7.56,overcast clouds
303,Channel-Port Aux Basques,CA,47.5702,-59.1367,36.81,79,100,36.26,overcast clouds
304,Acari,PE,-15.4311,-74.6158,67.06,77,34,3.53,scattered clouds
305,Khalkhal,IR,37.6189,48.5258,35.02,67,0,1.57,clear sky
306,Barcelos,PT,41.5388,-8.6151,60.94,91,100,15.93,light rain
307,Andros Town,BS,24.7,-77.7667,76.96,73,0,11.65,clear sky
308,Gari,RU,59.4307,62.3497,9.57,91,100,13.62,overcast clouds
309,Yar-Sale,RU,66.8333,70.8333,-4.7,92,88,7.54,overcast clouds
310,Hammerfest,NO,70.6634,23.6821,37.85,87,75,10.36,broken clouds
311,Bafata,GW,12.1667,-14.75,74.37,77,84,3.8,broken clouds
312,Kadnikov,RU,59.5022,40.338,26.26,87,14,4.74,few clouds
313,Castro,BR,-24.7911,-50.0119,61.07,98,97,4.0,overcast clouds
314,Pervomayskiy,RU,53.2485,40.2871,27.77,78,8,9.1,clear sky
315,Strezhevoy,RU,60.7333,77.5889,13.95,91,100,12.68,overcast clouds
316,Ferrol,ES,43.4832,-8.2369,61.32,84,100,25.7,overcast clouds
317,The Valley,AI,18.217,-63.0578,81.1,77,40,19.89,scattered clouds
318,Le Port,RE,-20.9373,55.2919,74.25,42,40,2.71,scattered clouds
319,Tyup,KG,42.7276,78.3648,34.99,57,99,1.48,overcast clouds
320,Zabol,AF,32.25,67.25,40.89,42,0,3.2,clear sky
321,Sinnamary,GF,5.3833,-52.95,78.51,85,9,10.78,clear sky
322,Qasigiannguit,GL,68.8193,-51.1922,25.05,90,100,20.49,light snow
323,Krasnoselkup,RU,65.7,82.4667,-14.82,94,59,10.54,broken clouds
324,Akdagmadeni,TR,39.6603,35.8836,34.52,86,5,2.37,clear sky
325,Hobyo,SO,5.3505,48.5268,79.41,72,0,12.3,clear sky
326,Calvinia,ZA,-31.4707,19.776,59.94,35,3,4.59,clear sky
327,Giyani,ZA,-23.3025,30.7187,62.67,88,7,2.82,clear sky
328,Aksarka,RU,66.5606,67.7975,-2.72,93,100,7.0,overcast clouds
329,Barvinkove,UA,48.9097,37.0205,29.41,75,0,3.49,clear sky
330,Kidodi,TZ,-7.6036,37.0044,68.99,90,43,3.11,scattered clouds
331,Pelym,RU,61.0108,61.9978,1.47,89,99,12.75,overcast clouds
332,Nantucket,US,41.2835,-70.0995,42.91,58,0,8.05,clear sky
333,Palatka,US,29.6486,-81.6376,70.99,89,30,1.01,scattered clouds
334,Danielskuil,ZA,-28.1887,23.5395,63.27,61,1,12.12,clear sky
335,Shubarkuduk,KZ,49.1447,56.4872,23.85,83,100,20.58,overcast clouds
336,Riyadh,SA,24.6877,46.7219,68.14,35,0,8.48,clear sky
337,Kharian,PK,32.8149,73.8636,60.44,57,56,6.91,broken clouds
338,Angoche,MZ,-16.2325,39.9086,74.62,87,68,1.61,broken clouds
339,Diamantino,BR,-14.4086,-56.4461,70.79,95,100,5.55,overcast clouds
340,Segou,ML,13.4317,-6.2157,78.3,28,79,5.53,broken clouds
341,Nueva Gerona,CU,21.8833,-82.8,79.27,76,5,5.28,clear sky
342,Columbia,US,34.0007,-81.0348,51.8,59,100,11.5,overcast clouds
