City_ID,City,Country,Max Temp,Weather Dsc,Lat,Lng,Hotel Name
350,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
351,Nkwerre,NG,70.14,overcast clouds,5.7556,7.1063,"Trinity Home, ISHI Owerre, Owerre- Nkworji"
353,Dabhol,IN,77.9,overcast clouds,17.6,73.1667,Ashwamedh Resort
354,Boende,CD,70.34,overcast clouds,-0.2167,20.8667,
355,Luwero,UG,61.43,light rain,0.8492,32.4731,Jo's bar and lounge
358,Upata,VE,74.19,few clouds,8.0086,-62.3989,Posada Villa Nela
362,Ancud,CL,54.1,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
364,Marzuq,YE,58.68,clear sky,14.4,46.4667,حيد القفلة
366,Santa Marta,CO,80.65,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
369,Moita Bonita,BR,71.13,scattered clouds,-10.5775,-37.3428,Pousada São Francisco
371,Banswara,IN,72.39,clear sky,23.55,74.45,Hotel Relax Inn
372,Marapanim,BR,75.85,scattered clouds,-0.7175,-47.6997,Ecomangue Pousada
374,Evinayong,GQ,66.49,overcast clouds,1.4368,10.5512,Hotel Don Patricio
375,Mchinji,MW,63.84,overcast clouds,-13.7984,32.8802,Kayesa Inn
376,Baoro,CF,66.79,clear sky,5.6667,15.9667,
378,Totness,SR,78.42,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
379,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
381,Puerto Carreno,CO,78.17,few clouds,6.189,-67.4859,Casa Hotel Victoria
383,Abu Dhabi,AE,79.97,clear sky,24.4667,54.3667,Beach Rotana
384,Talara,PE,65.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
385,Araouane,ML,78.64,overcast clouds,18.9048,-3.5265,
387,Kavaratti,IN,79.84,overcast clouds,10.5669,72.642,Green leaf
388,Inongo,CD,69.91,light rain,-1.95,18.2667,Hotel Du Lac
391,Taltal,CL,62.6,few clouds,-25.4,-70.4833,Residencial Karime
392,Vallenar,CL,71.35,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
393,Llanes,ES,62.89,overcast clouds,43.4198,-4.7549,Hotel La Paz
394,Castelo Do Piaui,BR,77.02,scattered clouds,-5.3222,-41.5525,Nobre Hotel
395,Caernarfon,GB,53.67,broken clouds,53.1413,-4.2702,Taldrwst Farmhouse
396,Melipilla,CL,56.21,clear sky,-33.7,-71.2167,Hotel Los Troncos
399,Salinas,US,54.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
400,Dingle,PH,86.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
403,Dwarka,IN,78.98,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
405,Tignere,CM,64.72,scattered clouds,7.3667,12.65,SADECK
407,Azare,NG,66.31,broken clouds,11.6765,10.1948,Mallam Ayuba Compound
408,Sao Miguel Do Araguaia,BR,73.02,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
410,Las Matas De Farfan,DO,70.68,scattered clouds,18.8731,-71.5166,Breathless Resort
413,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
414,Muscat,OM,80.19,clear sky,23.6139,58.5922,Mutrah Hotel
415,Ginir,ET,52.61,clear sky,7.1333,40.7,Sura Dare Village
416,Ibra,OM,71.1,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
418,Abu Samrah,SY,59.63,clear sky,35.3029,37.1841,
419,Maine-Soroa,NE,68.79,scattered clouds,13.2114,12.0241,Complexe
420,Coral Springs,US,78.98,few clouds,26.2712,-80.2706,La Quinta Inn & Suites by Wyndham Coral Springs South
422,Limoux,FR,56.7,overcast clouds,42.9167,2.1667,Domaine de l'Espinet
423,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
426,Lucapa,AO,62.94,overcast clouds,-8.4192,20.7447,Lírio Mendes
429,Micheweni,TZ,77.76,clear sky,-4.9667,39.8333,
431,Anuppur,IN,66.85,clear sky,23.1,81.6833,PWD vishramgruh GUEST HOUSE
432,Sao Lourenco Do Sul,BR,62.8,scattered clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
435,Olavarria,AR,53.08,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
436,Bangassou,CF,64.35,few clouds,4.7413,22.8184,
437,Birin,NP,59.83,clear sky,26.8865,88.0718,Sangam Hospitality
438,Tabas,IR,52.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
439,Parnarama,BR,72.75,scattered clouds,-5.6817,-43.0933,Hotel São Luiz
443,Margate,GB,55.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
444,Huesca,ES,52.48,scattered clouds,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
445,Puerto Narino,CO,74.52,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
446,Lafiagi,NG,70.9,clear sky,8.8667,5.4167,Bus group international
447,Kilembe,UG,59.72,light rain,0.2,30.0,ACIF Hotel Ltd
448,Darnah,LY,64.11,few clouds,32.767,22.6367,فندق الفردوس
452,Grand-Santi,GF,73.02,clear sky,4.25,-54.3833,Hotel La Villa Couacou
454,Benevento,IT,55.74,overcast clouds,41.2179,14.7464,Bed and breakfast “P’a Carrera”
458,Sidi Ali,DZ,61.99,scattered clouds,36.0998,0.4206,Khaled
460,Kasane,BW,66.07,scattered clouds,-17.8167,25.15,The Old House
462,Kasangulu,CD,72.54,overcast clouds,-4.5911,15.1708,Hôtel le Relais
463,Kutum,SD,58.14,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
464,Ploemeur,FR,56.82,light rain,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
465,Junin,AR,56.89,clear sky,-34.5838,-60.9433,Hotel Copahue
466,Muros,ES,60.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
467,Tome,CL,57.81,clear sky,-36.6167,-72.95,Hotel Saint Denis
470,Pisco,PE,66.25,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
471,Tarauaca,BR,75.27,overcast clouds,-8.1614,-70.7656,Flat Temporada
473,Honavar,IN,81.82,broken clouds,14.2833,74.45,Hotel Sagar Residency
474,Iralaya,HN,79.61,light rain,15.0,-83.2333,Iglesia morava renovada
475,Duartina,BR,76.35,scattered clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
476,Atar,MR,79.05,scattered clouds,20.5169,-13.0499,Oumou Elghoura
481,Entre Rios,BR,71.38,scattered clouds,-11.9419,-38.0844,Pousada Porteira
484,Seguela,CI,70.99,few clouds,7.9611,-6.6731,Lot 1 jeune fille
485,Sal Rei,CV,74.55,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
488,Samana,DO,76.62,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
