City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Vallenar,CL,2022-11-13 04:44:24,-28.5708,-70.7581,55.74,77,61,1.36
233,Ilhabela,BR,2022-11-13 04:44:25,-23.7781,-45.3581,69.55,90,29,2.86
234,Puerto Narino,CO,2022-11-13 04:44:25,-3.7703,-70.3831,74.68,85,92,1.57
235,Warwick,US,2022-11-13 04:44:25,41.7001,-71.4162,56.5,79,75,0.0
236,Pinkafeld,AT,2022-11-13 04:44:26,47.3667,16.1167,39.76,80,20,3.2
237,Coquimbo,CL,2022-11-13 04:44:26,-29.9533,-71.3436,55.13,94,0,2.3
238,Constitucion,CL,2022-11-13 04:44:26,-35.3333,-72.4167,51.22,91,6,6.31
239,Mehtar Lam,AF,2022-11-13 04:44:26,34.6714,70.2094,62.78,23,99,2.46
240,Quilmana,PE,2022-11-13 04:44:27,-12.95,-76.3833,64.99,80,48,2.28
241,San Rafael,AR,2022-11-13 04:44:27,-34.6177,-68.3301,55.74,73,100,14.7
242,Santa Maria,BR,2022-11-13 04:43:03,-29.6842,-53.8069,67.17,92,100,0.74
243,Englewood,US,2022-11-13 04:42:12,39.6478,-104.9878,39.79,48,75,5.75
244,Daugavpils,LV,2022-11-13 04:40:52,55.8833,26.5333,44.94,83,12,9.44
245,Kumluca,TR,2022-11-13 04:44:28,36.3703,30.2869,64.71,34,16,6.58
246,Bayburt,TR,2022-11-13 04:44:28,40.2589,40.2278,36.32,81,4,1.1
247,Pitea,SE,2022-11-13 04:44:28,65.3172,21.4794,30.29,81,5,2.84
248,Adrar,MR,2022-11-13 04:44:28,20.5022,-10.0711,67.64,15,2,10.6
249,Miraflores,MX,2022-11-13 04:44:29,19.2167,-98.8083,62.87,85,2,3.11
250,Ormara,PK,2022-11-13 04:44:29,25.2088,64.6357,80.85,62,0,5.79
251,Sambava,MG,2022-11-13 04:44:29,-14.2667,50.1667,78.26,68,9,9.98
252,Beitbridge,ZW,2022-11-13 04:44:30,-22.2167,30.0,77.29,63,99,2.8
253,Nanortalik,GL,2022-11-13 04:44:30,60.1432,-45.2371,28.53,84,100,11.01
254,Thunder Bay,CA,2022-11-13 04:43:07,48.4001,-89.3168,22.98,86,100,4.61
255,Porto Novo,BJ,2022-11-13 04:44:30,6.4965,2.6036,77.09,86,100,2.62
256,Japura,ID,2022-11-13 04:44:31,-0.3167,102.35,81.82,80,100,1.63
257,Honningsvag,NO,2022-11-13 04:44:31,70.9821,25.9704,37.15,81,95,5.75
258,Rock Sound,BS,2022-11-13 04:44:31,24.9,-76.2,80.44,72,98,3.89
259,Sidi Ali,DZ,2022-11-13 04:44:31,36.0998,0.4206,63.12,48,3,7.63
260,Sabha,LY,2022-11-13 04:44:32,27.0377,14.4283,56.64,45,0,6.44
261,Lagoa,PT,2022-11-13 04:44:32,39.05,-27.9833,59.77,63,100,22.91
262,Stornoway,GB,2022-11-13 04:44:32,58.2093,-6.3865,53.56,86,100,5.75
263,Rosario,AR,2022-11-13 04:41:16,-32.9468,-60.6393,67.95,79,0,5.75
264,Zabol,AF,2022-11-13 04:44:33,32.25,67.25,53.38,47,80,19.62
265,Serowe,BW,2022-11-13 04:40:59,-22.3833,26.7167,69.3,69,83,7.56
266,Tondon,GN,2022-11-13 04:44:33,10.3667,-13.35,69.87,87,19,1.97
267,Odienne,CI,2022-11-13 04:44:33,9.51,-7.5692,70.84,83,8,4.0
268,Tankara,IN,2022-11-13 04:44:34,22.6667,70.7333,77.86,25,5,9.04
269,Rio Gallegos,AR,2022-11-13 04:44:34,-51.6226,-69.2181,48.25,49,20,33.38
270,Junagarh,IN,2022-11-13 04:45:34,19.8667,82.9333,77.63,52,17,5.37
271,Muncie,US,2022-11-13 04:45:35,40.1934,-85.3864,31.93,88,100,16.11
272,Nantucket,US,2022-11-13 04:45:35,41.2835,-70.0995,60.91,93,40,8.05
273,Santa Cruz Del Sur,CU,2022-11-13 04:45:35,20.7147,-77.9956,76.03,88,88,5.73
274,Longyearbyen,SJ,2022-11-13 04:45:35,78.2186,15.6401,31.84,74,40,10.36
275,Svetlyy,RU,2022-11-13 04:45:36,54.675,20.1347,51.85,94,66,4.7
276,Bandarbeyla,SO,2022-11-13 04:45:36,9.4942,50.8122,80.29,70,19,15.61
277,Begamganj,IN,2022-11-13 04:45:36,23.6,78.3333,75.09,34,4,3.69
278,Venice,US,2022-11-13 04:45:36,27.0998,-82.4543,72.99,96,14,5.66
279,Puerto Madryn,AR,2022-11-13 04:45:04,-42.7692,-65.0385,56.07,84,66,15.1
280,Beloha,MG,2022-11-13 04:45:37,-25.1667,45.05,78.58,61,61,15.48
281,Nouakchott,MR,2022-11-13 04:42:00,18.0858,-15.9785,67.93,49,3,11.95
282,Kokstad,ZA,2022-11-13 04:45:37,-30.5472,29.4241,61.59,87,88,2.82
283,Berlevag,NO,2022-11-13 04:45:38,70.8578,29.0864,33.75,93,75,6.91
284,Lobito,AO,2022-11-13 04:45:38,-12.3481,13.5456,71.91,76,100,2.17
285,Umm Lajj,SA,2022-11-13 04:45:38,25.0213,37.2685,79.0,51,0,5.12
286,Aksu,CN,2022-11-13 04:45:38,41.1231,80.2644,44.46,34,0,1.43
287,Arlit,NE,2022-11-13 04:45:39,18.7369,7.3853,69.33,27,7,5.97
288,Kuytun,RU,2022-11-13 04:45:39,54.3419,101.5036,28.78,55,24,6.42
289,Kargasok,RU,2022-11-13 04:45:39,59.0556,80.8572,27.12,91,98,7.23
290,Nguru,NG,2022-11-13 04:45:40,12.8791,10.4526,69.21,25,13,10.31
291,Novo Aripuana,BR,2022-11-13 04:45:40,-5.1206,-60.3797,77.74,66,97,0.69
